topology,node_count,k_D,k_C,k_T,activation_threshold,propagation_exponent,intrinsic_decay,runs,steps,avg_edge_count,propagation_share,avg_failure_rate,avg_time_to_first_propagation,avg_largest_survival_cluster,max_last_affected_node,cascade_depth_distribution,last_affected_distribution,spatial_distribution_counts,spatial_behavior
chain,50,0.01,0.02,0.0,0.2,3.0,0.076,100,200,49.0,0.03,0.0,11.64,13.85,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:10|network_wide:90,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.077,100,200,49.0,0.03,0.0,11.66,13.85,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:10|network_wide:90,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.078,100,200,49.0,0.03,0.0,11.67,13.85,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|48|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|48|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|49|48|47|46|45|44|49|48|49|48|47|46|45,core_weighted:12|network_wide:88,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.079,100,200,49.0,0.01,0.0,12.37,14.09,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,core_weighted:13|network_wide:87,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.08,100,200,49.0,0.0,0.0,13.89,14.29,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|42|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,core_weighted:13|network_wide:87,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.081,100,200,49.0,0.01,0.0,13.9,14.29,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|49|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|48|35|46|45|32|49|48|49|48|47|46|45,core_weighted:11|network_wide:89,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.082,100,200,49.0,0.0,0.0,15.25,14.75,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|46|33|32|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|46|33|32|49|48|49|48|47|46|45,core_weighted:14|network_wide:86,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.083,100,200,49.0,0.0,0.0,17.16,14.85,49,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|49|48|47|46|45,46|45|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|49|48|47|46|45,core_weighted:14|network_wide:86,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.084,100,200,49.0,0.0,0.0,19.16,14.85,49,46|46|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|49|48|47|46|45,46|46|44|43|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|49|48|47|46|45,core_weighted:14|network_wide:86,expands_far
chain,50,0.01,0.02,0.0,0.2,3.0,0.085,100,200,49.0,0.0,0.0,19.18,14.85,49,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43,47|46|45|44|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|49|48|47|46|45|44|43|42|41|40|39|49|48|47|49|48|47|46|45|44|43|49|48|47|46|45|44|49|48|49|48|47|46|45|44|43|45|41|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|49|48|47|46|45|44|43,core_weighted:19|network_wide:81,expands_far
